State,Farm Count
Alabama,46833
Alaska,125
Arizona,3372
Arkansas,56549
California,21187
Colorado,31466
Connecticut,2425
Delaware,4954
Florida,12582
Georgia,47253
Guam,10
Hawaii,909
Idaho,22623
Illinois,198376
Indiana,131813
Iowa,188205
Kansas,134144
Kentucky,71109
Louisiana,32196
Maine,5046
Maryland,17840
Massachusetts,3552
Michigan,73081
Minnesota,129115
Mississippi,35092
Missouri,141462
Montana,44605
Nebraska,108109
Nevada,1950
New Hampshire,1568
New Jersey,5130
New Mexico,10746
New York,39880
North Carolina,81287
North Dakota,74911
Ohio,120061
Oklahoma,99849
Oregon,18103
Pennsylvania,50219
Puerto Rico,839
Rhode Island,853
South Carolina,25690
South Dakota,74056
Tennessee,58121
Texas,190974
Utah,11518
Vermont,6232
Virgin Islands of the U.S.,96
Virginia,41373
Washington,18059
West Virginia,12051
Wisconsin,113370
Wyoming,11771
